lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1749_hhds_with_indig_persons,1500_1749_other_hhds,1500_1749_total_hhds,1750_1999_hhds_with_indig_persons,1750_1999_other_hhds,1750_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_3499_hhds_with_indig_persons,3000_3499_other_hhds,3000_3499_total_hhds,3500_more_hhds_with_indig_persons,3500_more_other_hhds,3500_more_total_hhds
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40070,0,159,163,11,274,284,19,373,389,5,531,539,14,562,574,8,455,460,9,637,644,3,904,909,8,795,804,3,689,695,4,631,638,9,1269,1270,13,537,546,5,532,534,7,1543,1551
40120,0,75,75,0,131,131,5,208,212,0,630,630,0,451,449,7,739,750,7,799,808,4,878,880,13,988,999,6,732,740,14,714,728,12,1520,1536,11,1167,1180,17,1090,1106,36,3082,3117
40150,0,12,12,0,32,32,0,59,59,3,169,176,5,105,112,4,194,197,4,211,211,12,213,217,6,262,271,6,226,233,9,201,213,24,420,445,11,275,284,8,186,200,14,300,314
40220,0,93,95,5,176,178,3,296,302,21,926,946,16,746,760,20,1159,1178,17,1135,1155,15,1080,1099,12,988,1009,20,609,629,20,584,604,26,918,941,15,564,574,11,410,419,16,757,781
40250,0,0,0,11,0,11,3,0,3,29,0,29,27,0,23,37,0,43,30,5,31,44,5,52,33,16,46,23,14,34,19,12,27,16,11,29,9,17,28,3,17,22,3,22,22
40310,0,56,55,0,101,106,0,180,185,9,628,638,10,486,493,10,719,727,13,657,672,10,777,789,15,787,796,10,545,553,8,523,533,19,1070,1090,10,706,719,9,561,566,19,976,994
40430,0,3,3,0,19,19,0,46,46,0,138,140,0,69,69,6,126,133,4,87,87,8,96,100,0,74,76,0,52,52,0,38,38,0,76,77,3,46,43,0,36,38,0,69,71
40520,3,37,34,11,63,71,17,136,148,30,396,428,14,231,246,29,360,386,26,323,346,15,366,379,23,348,369,13,226,236,10,220,231,19,383,402,16,212,232,3,150,159,8,230,239
40700,0,113,113,0,212,216,0,296,297,5,700,704,5,747,745,7,795,801,3,903,911,9,1081,1096,7,1132,1138,9,847,852,5,889,891,10,1737,1749,9,1132,1146,0,1011,1012,17,4640,4660
40910,0,139,144,5,290,293,11,495,513,17,1462,1483,16,1044,1058,13,1322,1334,17,1326,1343,29,1546,1573,19,1542,1567,12,1180,1198,4,1127,1130,19,2381,2399,18,1604,1621,4,1388,1396,23,2759,2781
41010,3,8,7,16,15,27,8,34,35,20,74,89,11,44,59,23,54,77,22,66,90,12,81,87,26,99,119,6,51,56,18,54,69,18,97,114,21,66,92,9,64,73,21,92,110
41060,5,296,308,27,677,705,51,1343,1398,69,3454,3523,52,2134,2185,86,2944,3030,57,3195,3253,75,3591,3663,75,3578,3650,56,2782,2840,50,2590,2638,92,5240,5335,50,3549,3600,48,2932,2980,124,6360,6476
41140,3,28,29,0,36,43,0,109,108,7,307,316,7,190,193,0,264,269,9,284,297,10,290,305,12,331,344,6,200,208,5,209,213,19,345,365,0,200,203,4,173,177,7,276,277
