lgacode16,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
53150,0,22,22,3,42,46,0,50,49,4,130,131,0,76,80,0,129,132,4,119,117,4,130,135,0,146,148,3,273,279,0,218,223,0,146,150,0,858,856
53220,6,3,6,13,5,18,5,10,10,24,15,37,10,8,20,26,17,49,24,28,50,27,38,63,19,56,80,36,123,165,45,218,263,21,120,139,44,433,478
53290,3,32,38,7,82,89,3,149,149,5,357,365,12,205,213,20,323,343,15,277,295,11,365,379,12,353,374,27,518,548,13,459,477,7,324,332,18,521,541
53360,0,8,7,0,17,19,0,32,33,0,44,48,0,24,24,0,56,56,5,32,36,0,67,67,0,57,57,3,99,108,3,119,124,3,73,75,4,136,138
53430,0,82,79,17,364,383,17,431,448,23,774,794,9,451,460,5,581,590,10,592,602,19,695,718,9,646,657,17,1108,1120,20,1094,1110,4,706,712,36,2317,2347
53570,0,27,27,0,51,52,0,49,49,0,158,163,3,89,92,0,161,165,3,131,139,7,151,161,3,128,132,7,179,191,0,151,157,0,84,85,7,157,159
53640,0,3,3,4,7,16,5,13,18,6,26,35,3,9,11,0,30,30,3,23,24,4,40,41,3,22,30,3,45,43,0,43,43,0,25,25,0,54,54
53710,0,0,0,0,9,10,3,16,24,3,32,35,0,14,14,0,42,39,0,29,30,0,30,35,0,18,21,3,36,36,0,35,37,0,28,28,0,42,42
53780,7,245,256,41,691,727,23,822,848,46,2177,2222,52,1389,1442,71,2526,2597,79,2424,2499,82,3166,3252,60,3033,3090,123,4802,4934,96,4612,4703,56,2730,2791,93,4688,4779
53800,27,91,112,60,280,344,55,418,476,71,816,890,78,561,641,113,917,1029,85,720,802,82,945,1024,90,836,920,124,1394,1514,99,1310,1406,60,760,819,71,1520,1600
